"CUST_ID","EDUCATION","OCCUPATION","HOUSEHOLD_SIZE","YRS_RESIDENCE","AFFINITY_CARD","BULK_PACK_DISKETTES","FLAT_PANEL_MONITOR","HOME_THEATER_PACKAGE","BOOKKEEPING_APPLICATION","PRINTER_SUPPLIES","Y_BOX_GAMES","OS_DOC_SET_KANJI","COMMENTS"
102547,"10th","Other","1",0,0,1,1,0,0,1,1,0,""
101050,"10th","Other","1",0,0,1,1,0,0,1,1,0,""
100040,"11th","Sales","1",0,0,1,1,0,0,1,1,0,""
102117,"HS-grad","Farming","1",0,0,0,0,0,1,1,1,0,""
101074,"10th","Handler","1",1,0,1,1,0,0,1,1,0,""
104179,"10th","Handler","1",1,0,1,1,0,0,1,1,0,""
100417,"11th","Handler","1",1,0,0,0,0,0,1,1,0,""
101146,"< Bach.","?","1",1,0,1,1,0,1,1,1,0,""
103420,"< Bach.","?","1",1,0,1,1,0,1,1,1,0,""
101987,"< Bach.","Other","1",1,0,1,1,0,1,1,1,0,""
101279,"< Bach.","Other","1",1,0,0,0,0,1,1,1,0,""
102106,"< Bach.","Cleric.","1",1,0,0,0,0,1,1,1,0,""
102591,"HS-grad","?","1",1,0,1,1,0,1,1,1,0,""
101869,"HS-grad","Other","1",1,0,1,1,0,1,1,1,0,""
103169,"HS-grad","Sales","1",1,0,0,0,0,1,1,1,0,""
103552,"HS-grad","Handler","1",1,0,1,1,0,1,1,1,0,""
101616,"Bach.","TechSup","1",2,0,0,0,0,1,1,1,0,""
104096,"< Bach.","Other","1",2,0,1,1,0,1,1,1,0,""
102171,"< Bach.","Cleric.","1",2,0,0,0,0,1,1,1,0,""
100846,"< Bach.","Handler","1",2,0,1,1,0,1,1,1,0,""
104396,"HS-grad","Other","1",2,0,1,0,0,1,1,1,0,""
103297,"HS-grad","Prof.","1",2,0,1,1,0,1,1,1,0,""
102408,"HS-grad","Cleric.","1",2,0,1,1,0,1,1,1,0,""
100041,"HS-grad","Handler","1",2,0,1,1,0,1,1,1,0,""
100925,"HS-grad","Handler","1",2,0,0,0,0,1,1,1,0,""
103378,"11th","Crafts","1",3,0,1,1,0,0,1,1,0,""
101307,"Bach.","Sales","1",3,0,1,1,0,1,1,1,0,""
101005,"Bach.","Cleric.","1",3,0,0,0,0,1,1,1,0,""
102666,"< Bach.","?","1",3,0,0,0,0,1,1,0,0,""
